X,Y,Thickness
240414.55,570381.53,37.89
240914.55,570381.53,37.21
241414.55,570381.53,34.62
241914.55,570381.53,32.82
242414.55,570381.53,35.13
242914.55,570381.53,42.07
243414.55,570381.53,40.74
243914.55,570381.53,38.73
244414.55,570381.53,36.25
244914.55,570381.53,32.59
245414.55,570381.53,32.27
245914.55,570381.53,29.83
246414.55,570381.53,22.54
246914.55,570381.53,19.27
247414.55,570381.53,18.48
247914.55,570381.53,17.74
248414.55,570381.53,17.8
248914.55,570381.53,13.89
249414.55,570381.53,16.57
249914.55,570381.53,16.12
250414.55,570381.53,18.1
250914.55,570381.53,19.83
251414.55,570381.53,21
251914.55,570381.53,20.98
252414.55,570381.53,26.04
252914.55,570381.53,27.86
253414.55,570381.53,24.88
253914.55,570381.53,25.97
254414.55,570381.53,38.57
254914.55,570381.53,25.47
255414.55,570381.53,21.71
255914.55,570381.53,25.45
256414.55,570381.53,19
256914.55,570381.53,24.06
257414.55,570381.53,23.75
257914.55,570381.53,19.13
258414.55,570381.53,16.31
258914.55,570381.53,18.69
259414.55,570381.53,31.5
259914.55,570381.53,28.99
260414.55,570381.53,25.87
260914.55,570381.53,16.56
261414.55,570381.53,18.89
261914.55,570381.53,22.37
262414.55,570381.53,20.81
262914.55,570381.53,18.37
263414.55,570381.53,24.9
263914.55,570381.53,19.16
264414.55,570381.53,17.97
264914.55,570381.53,20.45
265414.55,570381.53,24.71
265914.55,570381.53,61.9
266414.55,570381.53,60.38
266914.55,570381.53,57.27
267414.55,570381.53,56.62
267914.55,570381.53,48.28
268414.55,570381.53,69.12
268914.55,570381.53,60.55
269414.55,570381.53,48.39
232414.55,570881.53,52.51
232914.55,570881.53,51.38
233414.55,570881.53,54.63
233914.55,570881.53,56.11
234414.55,570881.53,56.2
234914.55,570881.53,58.84
235414.55,570881.53,57.18
235914.55,570881.53,53.62
236414.55,570881.53,55.03
236914.55,570881.53,54.81
237414.55,570881.53,55.49
237914.55,570881.53,50.78
238414.55,570881.53,48.61
238914.55,570881.53,44.92
239414.55,570881.53,48.04
239914.55,570881.53,42.16
240414.55,570881.53,45.18
240914.55,570881.53,43.48
241414.55,570881.53,39.16
241914.55,570881.53,40.37
242414.55,570881.53,46.32
242914.55,570881.53,45.64
243414.55,570881.53,44.91
243914.55,570881.53,40.68
244414.55,570881.53,36.26
244914.55,570881.53,34.26
245414.55,570881.53,33.05
245914.55,570881.53,30.6
246414.55,570881.53,23.44
246914.55,570881.53,20.26
247414.55,570881.53,19.87
247914.55,570881.53,17.68
248414.55,570881.53,20.14
248914.55,570881.53,15.6
249414.55,570881.53,20.47
249914.55,570881.53,21.42
250414.55,570881.53,22.67
250914.55,570881.53,24.04
251414.55,570881.53,25.43
251914.55,570881.53,25.59
252414.55,570881.53,28.54
252914.55,570881.53,28.4
253414.55,570881.53,27.52
253914.55,570881.53,27.92
254414.55,570881.53,36.4
254914.55,570881.53,34.66
255414.55,570881.53,21.21
255914.55,570881.53,20.08
256414.55,570881.53,20.15
256914.55,570881.53,21.32
257414.55,570881.53,22.53
257914.55,570881.53,17.52
258414.55,570881.53,15.56
258914.55,570881.53,16.73
259414.55,570881.53,20.18
259914.55,570881.53,25.62
260414.55,570881.53,27.54
260914.55,570881.53,23.85
261414.55,570881.53,24.78
261914.55,570881.53,23.82
262414.55,570881.53,23.58
262914.55,570881.53,23.75
263414.55,570881.53,25.27
263914.55,570881.53,21.52
264414.55,570881.53,15.65
264914.55,570881.53,9.43
265414.55,570881.53,18.29
265914.55,570881.53,60.31
266414.55,570881.53,58.79
266914.55,570881.53,48.97
267414.55,570881.53,53.53
267914.55,570881.53,44.19
268414.55,570881.53,59.78
268914.55,570881.53,67.57
269414.55,570881.53,47.25
232414.55,571381.53,57.58
232914.55,571381.53,57.68
233414.55,571381.53,54.06
233914.55,571381.53,55.18
234414.55,571381.53,58.18
234914.55,571381.53,64.39
235414.55,571381.53,60.13
235914.55,571381.53,55.28
236414.55,571381.53,50.01
236914.55,571381.53,56.68
237414.55,571381.53,61.21
237914.55,571381.53,60.91
238414.55,571381.53,63.24
238914.55,571381.53,61.52
239414.55,571381.53,59.02
239914.55,571381.53,51.17
240414.55,571381.53,52.04
240914.55,571381.53,62
241414.55,571381.53,51.11
241914.55,571381.53,48.64
242414.55,571381.53,47.61
242914.55,571381.53,48.1
243414.55,571381.53,50.15
243914.55,571381.53,44.83
244414.55,571381.53,34.29
244914.55,571381.53,35.78
245414.55,571381.53,34.17
245914.55,571381.53,33.2
246414.55,571381.53,20.95
246914.55,571381.53,20
247414.55,571381.53,19.76
247914.55,571381.53,18.21
248414.55,571381.53,22.47
